Player,Team,Proj Min,Confidence,Injury,L5,L10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
Dylan Harper,SA,25,medium,Available,24.0,25.0,25.0,29.8,23.4,23.2,18.4,25.6,32.6,27.9,20.2,25.0
Luke Kornet,SA,20,medium,Available,21.1,20.5,12.2,29.9,27.8,14.3,0.0,18.2,26.0,22.5,13.4,25.0
Keldon Johnson,SA,20,medium,Available,19.6,21.9,17.3,20.9,17.8,20.1,21.9,23.5,28.9,25.4,17.4,27.0
Carter Bryant,SA,10,low,Available,15.1,16.0,5.8,22.6,12.4,4.5,30.3,25.4,24.7,12.6,4.9,10.0
Emanuel Miller,SA,,,Available,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Barnes,SA,6.4,low,Available,13.8,18.4,10.6,6.4,15.2,11.5,25.1,28.1,26.8,17.1,16.5,21.0
Kelly Olynyk,SA,,,Available,4.2,5.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,3.0
David Jones-Garcia,SA,,,Available,4.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Ingram,SA,,,Available,4.0,3.7,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,3.0
Bismack Biyombo,SA,,,Available,2.7,0.0,1.5,0.0,0.0,0.9,5.6,0.0,0.0,0.0,0.0,3.0
Mason Plumlee,SA,0.7,low,Available,0.0,0.0,1.5,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,SA,,,Available,0.0,0.0,1.5,0.0,0.0,0.0,1.8,5.6,8.6,0.0,0.0,4.0
Lindy Waters III,SA,,,Available,0.0,0.0,1.5,0.0,0.0,0.9,0.0,0.0,0.0,4.8,0.0,0.0
